,id,graph,jobs_variablethreshold_base,jobs_variablethreshold_reliability,jobs_grav_base,jobs_grav_reliability,jobs_cumul30_base,jobs_cumul30_reliability,jobs_cumul60_base,jobs_cumul60_reliability,jobs_cumul90_base,jobs_cumul90_reliability,area,pop
0,1,region,99094,76055,20017.945082021062,13862.082034431347,67959,6433,99094,76055,182750,104526,N,8340
1,2,region,112306,99847,25488.22062446664,17783.330449981633,47568,32766,112306,99847,210144,195534,N,4888
2,3,region,138071,116083,28749.796026752643,20260.547536494476,103625,8321,138071,116083,226712,220893,N,3668
3,4,region,98236,84587,23073.82153461732,16073.058738122614,75451,8648,98236,84587,253975,147790,N,3000
4,5,region,142379,41847,22875.9321221291,15950.631077687429,27605,24015,142379,41847,236679,222284,N,2572
5,6,region,175876,124935,29999.45095162667,21415.933683105686,104019,36302,175876,124935,254816,218220,N,9840
6,7,region,88742,62743,24069.42988728293,16751.732419687345,52411,33777,88742,62743,224484,187091,N,10316
7,8,region,225232,215884,31199.41441483648,22206.178053557378,47631,7878,225232,215884,256009,240205,N,8012
8,9,region,81855,78893,20955.975506291208,14655.095995033946,65173,6377,81855,78893,188622,139993,N,11092
9,10,region,231861,187434,48353.25461100638,34907.86893631698,174591,147044,231861,187434,260473,248016,N,6304
10,11,region,214372,200180,36233.6167689327,25845.7381971041,130759,23024,214372,200180,255577,252414,N,1528
11,12,region,219105,191760,31294.062047787887,22395.77683956345,51795,45167,219105,191760,250081,224763,N,6222
12,13,region,199238,188118,44532.0815380487,25885.113545892884,161358,51582,199238,188118,280385,239097,W,6524
13,14,region,99107,93447,23944.38148618496,14219.432124664643,70819,16765,99107,93447,145683,134120,W,8540
14,15,region,176149,145845,36202.25836107134,20934.63959638605,128339,3692,176149,145845,281703,191402,W,8860
15,16,region,148722,139443,33014.184199596086,19447.266640686616,112326,14272,148722,139443,248015,195522,W,3864
16,17,region,29348,19284,14298.736131004724,8613.412529046594,16593,608,75414,29348,174661,104705,C,3120
17,18,region,47138,29969,23033.931184450936,13653.473102988955,25002,8292,154023,47788,258473,196714,C,4332
18,19,region,120092,74818,35818.82332427967,20631.188568725138,106828,47825,205436,120092,291845,246280,C,9304
19,20,region,136178,86360,39498.65739098703,22793.85133547221,86360,81922,198897,95225,266204,239545,C,9836
20,21,region,204785,150577,33973.61859768248,21732.583763773753,75688,69691,143836,116726,268915,159140,E,588
21,22,region,173918,138302,24730.484960456193,16199.715927873443,88632,13382,127157,101871,224125,170271,E,11564
22,23,region,217381,158309,20093.162540317368,13121.18359055226,13551,9726,158309,47641,261294,159431,E,5296
23,24,region,234155,218688,37091.830176215066,23439.3556391303,146383,16521,208818,160043,243201,229323,E,3056
24,25,region,164876,96683,23883.59769825961,14229.916121950564,16254,6452,164876,96683,220474,208770,W,10912
25,26,region,153742,132812,30154.595926195805,17907.488337368217,65478,29457,153742,132812,212440,161384,W,1232
26,27,region,85768,67644,25307.008445146756,14810.397538326553,57573,48286,85768,67644,222530,135877,W,7152
27,28,region,150965,145059,38934.02171929237,22777.400988064008,122291,85641,150965,145059,229746,153924,W,7452
28,29,region,132245,75060,32630.326198356095,19125.381034627513,87392,15330,212178,131044,274403,225618,C,8596
29,30,region,136081,90436,38523.5754579047,22439.69318082721,136081,25614,195251,141436,266962,212510,C,9604
30,31,region,54344,52570,21808.650817054913,13047.743203481105,52570,11314,143274,54344,178375,153421,C,9000
31,32,region,72830,54298,23593.088793711315,14015.888842200204,48945,11050,146588,73941,226557,154205,C,6956
32,33,region,210870,157669,28755.46063153041,18220.02706583193,79241,32419,150645,99542,268249,165225,E,3260
33,34,region,173789,136816,23035.982878138955,15064.541938928352,46758,12063,124626,60149,272878,173789,E,1416
34,35,region,215678,167822,21606.007188353233,14004.799723855194,19385,9085,167822,38244,231705,215308,E,1876
35,36,region,104847,50790,13756.99482089855,9168.349894908706,8752,7681,39299,34937,143417,104847,E,11424
36,37,region,157424,108208,27381.45050247199,18457.372015058892,71012,4832,157424,108208,177651,162511,S,13359
37,38,region,116501,98120,24411.074228600744,16233.104374611463,53612,19083,116501,98120,260382,242474,S,11744
38,39,region,158924,146595,32767.756791480002,21937.974166616572,78957,26058,158924,146595,236217,217600,S,836
39,40,region,243664,169238,29117.42999549034,19588.9641549942,22395,13414,243664,169238,276604,244876,S,6952
40,41,region,153261,145200,28068.836959828026,18840.0226879232,85622,13063,153261,145200,270106,187632,S,8976
41,42,region,141556,128446,29401.85697687467,19706.54812762881,89225,34731,141556,128446,214703,152059,S,7084
42,43,region,190223,181624,38564.128448923584,25837.577228577626,69522,61682,190223,181624,284899,217117,S,11032
43,44,region,226425,167776,37726.19384060564,25580.314975943766,75101,34791,226425,167776,299330,282625,S,5848
44,45,region,89578,62646,20832.274896990086,13906.653092381042,36405,28647,89578,62646,229901,151783,S,1940
45,46,region,97790,84986,27790.736743636407,18670.91654881635,80771,16424,97790,84986,285336,217053,S,8060
46,47,region,190629,110672,27316.55247000096,18347.68468673144,69881,17843,190629,110672,256476,200809,S,100
47,48,region,163122,150142,41854.822987648426,28138.4234139876,127675,101782,163122,150142,300236,179627,S,11552
